month,year,day,time,temperature,,,,,,,,,
February,2019,7,9:31 AM,19  F,,,,,,,,,
February,2019,7,9:50 AM,18  F,,,,,,,,,
February,2019,7,9:54 AM,18  F,,,,,,,,,
February,2019,7,10:54 AM,18  F,,,,,,,,,
February,2019,7,11:54 AM,17  F,,,,,,,,,
February,2019,7,12:54 PM,16  F,,,,,,,,,
February,2019,7,1:54 PM,16  F,,,,,,,,,
February,2019,7,2:27 PM,15  F,,,,,,,,,
February,2019,7,2:54 PM,15  F,,,,,,,,,
February,2019,7,3:54 PM,14  F,,,,,,,,,
February,2019,7,4:54 PM,14  F,,,,,,,,,
February,2019,7,5:13 PM,14  F,,,,,,,,,
February,2019,7,5:54 PM,13  F,,,,,,,,,
February,2019,7,6:25 PM,13  F,,,,,,,,,
February,2019,7,6:54 PM,13  F,,,,,,,,,
February,2019,7,7:54 PM,13  F,,,,,,,,,
February,2019,7,8:16 PM,12  F,,,,,,,,,
February,2019,7,8:54 PM,12  F,,,,,,,,,
February,2019,7,9:54 PM,11  F,,,,,,,,,
February,2019,7,10:54 PM,10  F,,,,,,,,,
February,2019,7,11:54 PM,9  F,,,,,,,,,
February,2019,8,12:54 AM,9  F,,,,,,,,,
February,2019,8,1:54 AM,9  F,,,,,,,,,
February,2019,8,2:54 AM,9  F,,,,,,,,,
February,2019,8,3:54 AM,11  F,,,,,,,,,
February,2019,8,4:51 AM,12  F,,,,,,,,,
February,2019,8,4:54 AM,13  F,,,,,,,,,
February,2019,8,5:54 AM,14  F,,,,,,,,,
February,2019,8,6:54 AM,15  F,,,,,,,,,
February,2019,8,7:54 AM,16  F,,,,,,,,,
February,2019,8,8:54 AM,16  F,,,,,,,,,
February,2019,8,9:54 AM,19  F,,,,,,,,,
February,2019,8,10:54 AM,18  F,,,,,,,,,
February,2019,8,11:54 AM,17  F,,,,,,,,,
February,2019,8,12:54 PM,16  F,,,,,,,,,
February,2019,8,1:54 PM,16  F,,,,,,,,,
February,2019,8,2:54 PM,15  F,,,,,,,,,
February,2019,8,3:54 PM,14  F,,,,,,,,,
February,2019,8,4:54 PM,14  F,,,,,,,,,
February,2019,8,5:54 PM,13  F,,,,,,,,,
February,2019,8,6:54 PM,13  F,,,,,,,,,
February,2019,8,7:54 PM,12  F,,,,,,,,,
February,2019,8,8:54 PM,12  F,,,,,,,,,
February,2019,8,9:54 PM,12  F,,,,,,,,,
February,2019,8,10:54 PM,12  F,,,,,,,,,
February,2019,8,11:54 PM,12  F,,,,,,,,,
February,2019,9,12:54 AM,12  F,,,,,,,,,
February,2019,9,1:54 AM,12  F,,,,,,,,,
February,2019,9,2:54 AM,13  F,,,,,,,,,
February,2019,9,3:54 AM,16  F,,,,,,,,,
February,2019,9,4:54 AM,19  F,,,,,,,,,
February,2019,9,5:54 AM,22  F,,,,,,,,,
February,2019,9,6:54 AM,26  F,,,,,,,,,
February,2019,9,7:54 AM,27  F,,,,,,,,,
February,2019,9,8:54 AM,29  F,,,,,,,,,
February,2019,9,9:54 AM,30  F,,,,,,,,,
February,2019,9,10:54 AM,31  F,,,,,,,,,
February,2019,9,11:54 AM,30  F,,,,,,,,,
February,2019,9,12:54 PM,29  F,,,,,,,,,
February,2019,9,1:54 PM,28  F,,,,,,,,,
February,2019,9,2:54 PM,26  F,,,,,,,,,
February,2019,9,3:54 PM,26  F,,,,,,,,,
February,2019,9,4:54 PM,27  F,,,,,,,,,
February,2019,9,5:54 PM,27  F,,,,,,,,,
February,2019,9,6:54 PM,27  F,,,,,,,,,
February,2019,9,7:54 PM,27  F,,,,,,,,,
February,2019,9,8:54 PM,27  F,,,,,,,,,
February,2019,9,9:54 PM,27  F,,,,,,,,,
February,2019,9,10:54 PM,27  F,,,,,,,,,
February,2019,9,11:37 PM,28  F,,,,,,,,,
February,2019,9,11:54 PM,28  F,,,,,,,,,
February,2019,10,12:54 AM,26  F,,,,,,,,,
February,2019,10,1:01 AM,26  F,,,,,,,,,
February,2019,10,1:06 AM,26  F,,,,,,,,,
February,2019,10,1:17 AM,27  F,,,,,,,,,
February,2019,10,1:24 AM,27  F,,,,,,,,,
February,2019,10,1:54 AM,28  F,,,,,,,,,
February,2019,10,2:54 AM,29  F,,,,,,,,,
February,2019,10,3:54 AM,30  F,,,,,,,,,
February,2019,10,4:34 AM,31  F,,,,,,,,,
February,2019,10,4:54 AM,31  F,,,,,,,,,
February,2019,10,5:54 AM,32  F,,,,,,,,,
February,2019,10,5:59 AM,32  F,,,,,,,,,
February,2019,10,6:54 AM,33  F,,,,,,,,,
February,2019,10,6:58 AM,33  F,,,,,,,,,
February,2019,10,7:06 AM,33  F,,,,,,,,,
February,2019,10,7:54 AM,33  F,,,,,,,,,
February,2019,10,8:51 AM,34  F,,,,,,,,,
February,2019,10,8:54 AM,33  F,,,,,,,,,
February,2019,10,9:54 AM,33  F,,,,,,,,,
February,2019,10,10:54 AM,34  F,,,,,,,,,
February,2019,10,11:54 AM,34  F,,,,,,,,,
February,2019,10,12:01 PM,34  F,,,,,,,,,
February,2019,10,12:31 PM,34  F,,,,,,,,,
February,2019,10,12:54 PM,34  F,,,,,,,,,
February,2019,10,1:54 PM,34  F,,,,,,,,,
February,2019,10,2:46 PM,33  F,,,,,,,,,
February,2019,10,2:54 PM,33  F,,,,,,,,,
February,2019,10,3:54 PM,33  F,,,,,,,,,
February,2019,10,4:13 PM,33  F,,,,,,,,,
February,2019,10,4:27 PM,33  F,,,,,,,,,
February,2019,10,4:50 PM,34  F,,,,,,,,,
February,2019,10,4:54 PM,33  F,,,,,,,,,
February,2019,10,5:24 PM,33  F,,,,,,,,,
February,2019,10,5:33 PM,33  F,,,,,,,,,
February,2019,10,5:54 PM,33  F,,,,,,,,,
February,2019,10,6:54 PM,33  F,,,,,,,,,
February,2019,10,7:36 PM,33  F,,,,,,,,,
February,2019,10,7:42 PM,33  F,,,,,,,,,
February,2019,10,7:54 PM,33  F,,,,,,,,,
February,2019,10,8:41 PM,33  F,,,,,,,,,
February,2019,10,8:54 PM,33  F,,,,,,,,,
February,2019,10,9:07 PM,33  F,,,,,,,,,
February,2019,10,9:17 PM,33  F,,,,,,,,,
February,2019,10,9:54 PM,33  F,,,,,,,,,
